	Feature	value
4109	in_APPR_>_Fällen_NN_>_einigen_PIAT	-0.0007103000535732459
8436	sind_VAFIN_>_zurückzuführen_VVIZU_>_auf_APPR	-0.0007085768063553803
1344	auf_APPR_>_nur_ADV_>_nicht_PTKNEG	0.0007081554989474562
3852	in_APPR_>_Artikeln_NN_>_den_ART	-0.0007074158907803003
10575	werden_VAFIN_>_verwendet_VVFIN_>_in_APPR	-0.0007068710386008515
5517	ist_VAFIN_>_Verständnis_NN_>_ein_ART	-0.0007024142871575607
4183	in_APPR_>_Hand_NN_>_der_ART	0.0007002803365998956
3864	in_APPR_>_Aufsatz_NN_>_seinem_PPOSAT	0.0006999096816806273
2688	führt_VVFIN_>_vor_APPR_>_Augen_NN	0.0006969028071993166
2248	durch_APPR_>_Verwendung_NN_>_die_ART	-0.000696714724827685
7669	mit_APPR_>_Welt_NN_>_der_ART	0.0006911162901435636
2946	für_APPR_>_Verwendung_NN_>_die_ART	-0.0006904998534619899
4148	in_APPR_>_Gesellschaft_NN_>_die_ART	0.0006901429498895122
4371	in_APPR_>_Literatur_NN_>_linguistischen_ADJA	-0.0006885267518125005
4772	in_APPR_>_Welt_NN_>_eine_ART	0.0006877856739556531
5300	ist_VAFIN_>_Menge_NN_>_die_ART	-0.000687264203833354
3617	im_APPRART_>_Fall_NN_>_von_APPR	-0.0006849083461291236
3531	hat_VAFIN_>_tun_VVINF_>_mit_APPR	0.0006801896379969168
4214	in_APPR_>_Hälfte_NN_>_zweiten_ADJA	0.0006798142247560918
1602	bei_APPR_>_Bildung_NN_>_der_ART	-0.0006782611049348281
4669	in_APPR_>_Texten_NN_>_beiden_PIAT	0.0006775490761449451
4800	in_APPR_>_Worten_NN_>_den_ART	0.0006772372291990986
1192	auf_APPR_>_Seite_NN_>_anderen_ADJA	0.0006746656178319178
6460	ist_VAFIN_>_verstehen_VVINF_>_als_APPR	0.0006742517219465985
4603	in_APPR_>_Sprache_NN_>_gesprochenen_ADJA	-0.0006734060866805351
2790	für_APPR_>_Frau_NN_>_die_ART	0.0006726030204965942
6223	ist_VAFIN_>_konstatieren_VVINF_>_zu_PTKZU	0.0006700698522392945
350	Mitte_NN_>_Jahrhunderts_NN_>_des_ART	0.0006683848163038408
393	Rahmen_NN_>_Untersuchung_NN_>_der_ART	-0.0006672333360508576
448	Teil_NN_>_Arbeit_NN_>_der_ART	-0.0006665459497804747
10646	werden_VAINF_>_betrachtet_VVPP_>_als_APPR	-0.0006654488688388328
5489	ist_VAFIN_>_Verb_NN_>_ein_ART	-0.0006628067341764545
12162	zeigt_VVFIN_>_Verteilung_NN_>_die_ART	-0.000662701525601714
8179	sind_VAFIN_>_Verben_NN_>_die_ART	-0.0006602563400017761
3363	hat_VAFIN_>_Einfluss_NN_>_auf_APPR	-0.0006587568850499768
7759	nach_APPR_>_Ende_NN_>_dem_ART	0.0006583136332105622
1938	darauf_PROAV_>_ist_VAFIN_>_dass_KOUS	-0.0006545014147399695
12149	zeigt_VVFIN_>_Tabelle_NN_>_die_ART	-0.0006522727647063979
11550	wird_VAFIN_>_gestellt_VVPP_>_in_APPR	0.0006515641363916147
5250	ist_VAFIN_>_Klasse_NN_>_die_ART	-0.0006511275476881531
